,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
527,1704383564-645,PEUGEOT,308 SW 1.2 Pure Tech Allure Pack,131.0,20399.0,2022.0,32500,Automat,0 - 249,1,0,0,"Oltnerstrasse 101, 4663 Aarburg",47.33354949951172,7.906131267547607
528,1704383567-646,PEUGEOT,308 SW 1.5 BlueHDI Allure Pack,131.0,15759.0,2023.0,30900,Automat,0 - 249,0,1,0,"Oltnerstrasse 101, 4663 Aarburg",47.33354949951172,7.906131267547607
530,1704383572-648,PEUGEOT,208 1.2 PureTech Active Pack,100.0,100.0,2023.0,22800,Automat,0 - 249,1,0,0,"Oltnerstrasse 101, 4663 Aarburg",47.33354949951172,7.906131267547607
531,1704383577-650,FIAT,Scudo 2.0 MJ Comfort 1.0t,128.0,186000.0,2014.0,5500,Manuell,0 - 249,0,1,0,"Sarganserstrasse 48, 8880 Walenstadt",47.11624526977539,9.325493812561035
532,1704383582-651,SUZUKI,SX4 S-Cross 1.4 16V Tradizio Top 4WD Automatic,140.0,37500.0,2019.0,22900,Automat,0 - 249,1,0,0,"Jaluse 2, 2400 Le Locle",47.05116271972656,6.750363349914551
533,1704383584-652,HYUNDAI,i20 1.2 Comfort,86.0,104000.0,2014.0,4900,Manuell,0 - 249,1,0,0,"Industriestrasse 18, 9470 Buchs SG",47.17133712768555,9.480002403259276
535,1704383589-654,VW,Passat Alltrack 2.0 TDI BMT 4Motion,170.0,232000.0,2012.0,8700,Automat,0 - 249,0,1,0,"Sarganserstrasse 48, 8880 Walenstadt",47.11624526977539,9.325493812561035
536,1704383594-655,SUZUKI,Vitara 1.4 Boosterjet Compact Top Automatic,140.0,114900.0,2018.0,19900,Automat,0 - 249,1,0,0,"Pré du Pont 109, 1868 Collombey",46.26795959472656,6.952877521514893
537,1704383599-657,VW,Polo 1.4 16V Comfortline,75.0,67000.0,2004.0,2700,Manuell,0 - 249,1,0,0,"Chemin Delay 22, 1214 Vernier",46.21965789794922,6.077111721038818
540,1704383607-660,OPEL,Corsa 1.2 16V Club,75.0,212000.0,2001.0,799,Manuell,0 - 249,1,0,0,"Seetalstrasse 41, 8280 Kreuzlingen",47.6443977355957,9.187561988830566
541,1704383612-661,MERCEDES-BENZ,Sprinter 313 CDI Extralang 7G-Tronic,129.0,370000.0,2015.0,11500,Automat,0 - 249,0,1,0,"Sarganserstrasse 48, 8880 Walenstadt",47.11624526977539,9.325493812561035
545,1704383622-665,RENAULT,Scénic 1.5 dCi Initiale Paris EDC,110.0,45500.0,2017.0,14500,Automat,0 - 249,0,1,0,"Lagerstrasse 14, 8600 Dübendorf",47.40056228637695,8.60324478149414
546,1704383624-666,VW,Polo 1.4 16V FSI Comfortline,85.0,200000.0,2004.0,2499,Manuell,0 - 249,1,0,0,"Chemin Champs Prévost 6, 1214 Vernier",46.22151947021485,6.092485427856445
547,1704383627-667,PEUGEOT,5008 1.5 BlueHDi Allure Pack EAT8,131.0,21401.0,2023.0,38900,Automat,0 - 249,0,1,0,"Oltnerstrasse 101, 4663 Aarburg",47.33354949951172,7.906131267547607
548,1704383629-668,VW,Sharan 1.8 T Highline,150.0,205500.0,2003.0,2500,Automat,0 - 249,1,0,0,"Niederholzstrasse 20, 8951 Fahrweid",47.40693664550781,8.415196418762207
549,1704383632-669,BMW,325i Cabriolet Steptronic,218.0,323000.0,2007.0,3999,Automat,0 - 249,1,0,0,"Via Fola 9, 6963 Pregassona",46.01711654663086,8.96275806427002
553,1704383645-673,MAZDA,3 2.0 16V Exclusive,150.0,194000.0,2005.0,900,Manuell,0 - 249,1,0,0,"Route de Sullens 9, 1303 Penthaz VD",46.597469329833984,6.542710781097412
554,1704383647-674,NISSAN,Micra 1.2 visia (prima),65.0,192000.0,2009.0,990,Manuell,0 - 249,1,0,0,"Untere Dünnernstrasse, 4612 Wangen bei Olten",47.34194564819336,7.872065544128418
555,1704383649-675,BMW,318 ti Compact,143.0,208983.0,2002.0,1500,Manuell,0 - 249,1,0,0,"Winterthurerstrasse 702, 8247 Flurlingen",47.69027328491211,8.629841804504395
556,1704383652-676,SKODA,Enyaq Coupé RS iV 80 4x4,299.0,2000.0,2023.0,64900,Automat,250 - 599,0,0,1,"Bahnhofstrasse 186, 6423 Seewen",47.03028869628906,8.628253936767578
559,1704383668-681,PORSCHE,Macan GTS PDK,380.0,32500.0,2021.0,91800,Automat,250 - 599,1,0,0,"Aeussere Luzernerstrasse 19, 4665 Oftringen",47.29706954956055,7.93613338470459
560,1704383670-682,MERCEDES-BENZ,E 220 d T AMG Line 9G-Tronic,194.0,34000.0,2021.0,44900,Automat,0 - 249,0,1,0,"Bernstrasse 358, 8953 Dietikon",47.392669677734375,8.401385307312012
561,1704383672-683,HYUNDAI,i40 Wagon 1.7 CRDI Premium,136.0,115000.0,2015.0,10900,Manuell,0 - 249,0,1,0,"64-66 rue de Lausanne, 1202 Geneve",46.215274810791016,6.147068500518799
562,1704383680-686,PEUGEOT,307 CC 2.0 16V,136.0,154000.0,2004.0,2200,Manuell,0 - 249,1,0,0,"Wittnauerstr 201, 4468 Kienberg",47.4433822631836,7.963037967681885
564,1704383685-688,VOLVO,XC60 D5 AWD Summum Geartronic,215.0,145500.0,2011.0,13900,Automat,0 - 249,0,1,0,"64-66 rue de Lausanne, 1202 Geneve",46.215274810791016,6.147068500518799
566,1704383690-690,SEAT,Leon 1.6 Shake,102.0,173000.0,2007.0,2500,Manuell,0 - 249,1,0,0,"Klausmattstrasse 1, 6038 Gisikon LU",47.12247085571289,8.396854400634766
568,1704383698-692,AUDI,A5 Sportback 2.0 TFSI quattro S-tronic,211.0,206000.0,2012.0,11999,Automat,0 - 249,1,0,0,"Pfeidstrasse 31, 2555 Brügg",47.12133407592773,7.275235176086426
569,1704383700-693,FORD,S-Max 2.0 TDCi Titanium,140.0,114000.0,2014.0,14990,Manuell,0 - 249,0,1,0,"Bahnhofstrasse 5, 9308 Lömmenschwil",47.50289916992188,9.357492446899414
571,1704383728-703,SUZUKI,Swift 1.6i 16V Sport,136.0,140000.0,2013.0,8900,Manuell,0 - 249,1,0,0,"Bahnhofstrasse 175, 9244 Niederuzwil",47.44595336914063,9.149778366088867
574,1704383751-711,VW,e-Up,83.0,1100.0,2023.0,30500,Automat,0 - 249,0,0,1,"Birsfelderstrasse 50, 4132 Muttenz",47.53702926635742,7.633534908294678
575,1704383756-713,JEEP,Wrangler 3.8 Unlimited Rubicon Automatic,198.0,155000.0,2011.0,24900,Manuell,0 - 249,1,0,0,"Bernstrasse 119, 3613 Steffisburg",46.77606964111328,7.614819049835205
578,1704383764-716,BMW,X1 xDrive 20d xLine Steptronic,190.0,44420.0,2018.0,32900,Automat,0 - 249,0,1,0,"Landstrasse 15, 5417 Untersiggenthal",47.49612045288086,8.267662048339844
581,1704383771-719,FIAT,500 electric 87 kW Icon,118.0,11860.0,2022.0,25490,Automat,0 - 249,0,0,1,"Gehrauerstrasse 1, 8554 Bonau Wigoltingen",47.5825309753418,9.037036895751951
582,1704383774-720,MERCEDES-BENZ,V 300  Exklusive,237.0,33000.0,2021.0,74900,Automat,0 - 249,0,1,0,"Schneckelerstrasse 2, 4414 Füllinsdorf",47.51249694824219,7.721448421478271
584,1704383790-725,MERCEDES-BENZ,GLA 250 AMG Line 4Matic 7G-DCT,211.0,87000.0,2015.0,21500,Automat,0 - 249,1,0,0,"Cho d'Punt Dadour 83, 7503 Samedan",46.53018569946289,9.87387466430664
585,1704383792-726,VW,Golf 1.6 Trendline,102.0,223000.0,2009.0,5900,Manuell,0 - 249,1,0,0,"Lindenstrasse 42, 9443 Widnau",47.40339660644531,9.634766578674316
586,1704383795-727,LAND,Range Rover Sport 4.4 SDV8 HSE Automatic,340.0,145000.0,2015.0,42000,Automat,250 - 599,0,1,0,"Gerbeweg 6, 3270 Aarberg",47.04452896118164,7.27493953704834
587,1704383797-728,VW,Golf 2.0 TSI GTI DSG,211.0,141000.0,2009.0,12500,Automat,0 - 249,1,0,0,"Mülitalstrasse 12, 3185 Schmitten",46.86172103881836,7.257884502410889
589,1704383811-732,OPEL,Adam 1.4 ecoFLEX SLAM,87.0,91550.0,2013.0,6700,Manuell,0 - 249,1,0,0,"Palmenstrasse 1, 9444 Diepoldsau",47.37972640991211,9.653362274169922
590,1704383814-733,FIAT,500X 2.0 MJ Cross 4x4 Automatic,140.0,128570.0,2017.0,11999,Automat,0 - 249,0,1,0,"Gallierstrasse 4, 4313 Möhlin",47.57493209838867,7.837835788726807
594,1704383824-737,CITROEN,C5 Berline 2.0 HDi Exclusive,163.0,110853.0,2014.0,14250,Manuell,0 - 249,0,1,0,"Chemin Champ Derrey 7, 1083 Mézières",46.594757080078125,6.768916606903076
597,1704383839-742,LAND,Range Rover Evoque 2.0 Si4 SE Dynamic AT9,240.0,75000.0,2018.0,32900,Automat,0 - 249,1,0,0,"Zugerstrasse 84, 6314 Unterägeri",47.140113830566406,8.573643684387207
599,1704383845-744,JEEP,Grand Cherokee 3.0 CRD Summit Automatic,250.0,73000.0,2017.0,29900,Automat,0 - 249,0,1,0,"Zürcherstrasse 145, 8952 Schlieren",47.39628982543945,8.467235565185547
601,1704383854-748,CUPRA,Ateca 2.0TSI 4Drive DSG,300.0,13000.0,2022.0,42500,Automat,250 - 599,1,0,0,"Zürcherstrasse 145, 8952 Schlieren",47.39628982543945,8.467235565185547
602,1704383857-749,BMW,M5 xDrive Competition Drivelogic,626.0,61500.0,2019.0,99900,Automat,600 - 1500,1,0,0,"Chemin Delay 23, 1214 Vernier",46.22023391723633,6.075229167938232
603,1704383859-750,SMART,fortwo passion,71.0,25000.0,2019.0,13780,Automat,0 - 249,1,0,0,"Hakabstrasse 5, 8309 Nürensdorf",47.45111846923828,8.652830123901367
604,1704383865-751,TESLA,Model Y Performance,534.0,24500.0,2022.0,50890,Automat,250 - 599,0,0,1,"Gehrauerstrasse 1, 8554 Bonau Wigoltingen",47.5825309753418,9.037036895751951
606,1704383872-754,MERCEDES-BENZ,GLC Coupé 250 d 4Matic 9G-Tronic,204.0,168000.0,2016.0,29980,Automat,0 - 249,0,1,0,"Hakabstrasse 5, 8309 Nürensdorf",47.45111846923828,8.652830123901367
608,1704383880-757,NISSAN,Micra 1.2 tekna,80.0,42850.0,2011.0,8500,Manuell,0 - 249,1,0,0,"Chemin Delay 23, 1214 Vernier",46.22023391723633,6.075229167938232
609,1704383883-758,BMW,M135i xDrive M Sport Pro Steptronic,306.0,24500.0,2023.0,46800,Automat,250 - 599,1,0,0,"Kasernenstrasse 4d, 8184 Bachenbülach",47.50333404541016,8.534972190856934
614,1704383903-765,FIAT,Tipo 1.4TJet Lounge,120.0,84785.0,2018.0,10890,Manuell,0 - 249,1,0,0,"Gehrauerstrasse 1, 8554 Bonau Wigoltingen",47.5825309753418,9.037036895751951
618,1704383912-769,BENTLEY,Continental GT Speed 6.0 W12,635.0,70600.0,2015.0,94900,Automat,600 - 1500,1,0,0,"Obere Schwandenstrasse 2, 8833 Samstagern",47.20139694213867,8.685839653015137
619,1704383915-770,VW,Golf 2.0 TSI GTI,230.0,108300.0,2017.0,18880,Manuell,0 - 249,1,0,0,"Wiesackerstrasse 111, 8105 Regensdorf",47.43950653076172,8.457734107971191
625,1704383933-776,NISSAN,Note 1.2 DIG-S acenta+ CVT,98.0,55100.0,2016.0,10900,Automat,0 - 249,1,0,0,"St. Gallerstrasse 7, 8352 Elsau ZH",47.49910354614258,8.809943199157715
626,1704383936-777,MERCEDES-BENZ,A 250 AMG Line,224.0,66400.0,2018.0,27980,Automat,0 - 249,1,0,0,"Hakabstrasse 5, 8309 Nürensdorf",47.45111846923828,8.652830123901367
627,1704383938-778,MERCEDES-BENZ,A 180 Progressive,136.0,35300.0,2019.0,25550,Automat,0 - 249,1,0,0,"Langwiesenstrasse 7, 8108 Dällikon",47.44594955444336,8.441462516784668
628,1704383941-779,RENAULT,Kadjar 1.3 16V Turbo Black Edition EDC,160.0,15300.0,2021.0,23500,Automat,0 - 249,1,0,0,"Sumpfstrasse 32, 6312 Steinhausen",47.18733596801758,8.486342430114746
629,1704383944-780,CITROEN,Berlingo 1.5 BlueHDi Feel,102.0,162000.0,2018.0,13900,Manuell,0 - 249,0,1,0,"Cilanderstrasse 13, 9100 Herisau",47.387489318847656,9.272183418273926
631,1704383954-783,SUZUKI,Swift 1.2i Compact+ Allgrip 4x4,90.0,92300.0,2019.0,13200,Manuell,0 - 249,1,0,0,"Gotthardstrasse 58, 6460 Altdorf",46.87477493286133,8.649740219116211
632,1704383957-784,PORSCHE,911 GT3 PDK,510.0,2500.0,2021.0,195990,Automat,250 - 599,1,0,0,"Hafenstrasse 50B, 8280 Kreuzlingen",47.64847183227539,9.1818208694458
633,1704383964-787,MERCEDES-BENZ,GLC Coupé 400 d AMG Line 4Matic 9G-Tronic,330.0,35000.0,2019.0,62800,Automat,250 - 599,0,1,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
634,1704383967-788,ASTON,Vanquish S Volante V12 Touchtronic 3,604.0,200.0,2018.0,665000,Automat,600 - 1500,1,0,0,"Hafenstrasse 50B, 8280 Kreuzlingen",47.64847183227539,9.1818208694458
635,1704383972-790,TOYOTA,Yaris 1.6 GR Sport,261.0,9000.0,2021.0,42500,Manuell,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
636,1704383977-791,VW,T6 California 2.0 Bi-TDI Ocean GREY 4Motion DSG,204.0,73900.0,2018.0,66900,Automat,0 - 249,0,1,0,"Kempttalstrasse 16, 8320 Fehraltorf",47.3895149230957,8.747742652893066
637,1704383980-792,CITROEN,C4 1.2 Pure Tech Feel,110.0,16000.0,2016.0,14800,Manuell,0 - 249,1,0,0,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33763122558594,8.811254501342773
638,1704383983-793,FORD,Focus 1.5 TDCi Business,120.0,107000.0,2018.0,9000,Manuell,0 - 249,0,1,0,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33763122558594,8.811254501342773
641,1704383991-796,CUPRA,Formentor 2.0TSI VZ  DSG,245.0,10000.0,2023.0,40990,Automat,0 - 249,1,0,0,"Muttenzerstrasse 143, 4133 Pratteln BL",47.52081298828125,7.674278736114502
643,1704383996-798,RENAULT,Mégane 1.6 16V Turbo GT EDC,205.0,57000.0,2018.0,19900,Automat,0 - 249,1,0,0,"Thurgauerstrasse 103, 8152 Opfikon",47.42139434814453,8.556894302368164
644,1704383999-799,BMW,X3 xDrive 30d xLine Steptronic,265.0,74400.0,2018.0,43500,Automat,250 - 599,0,1,0,"Rohrerstrasse 30, 5000 Aarau",47.39478302001953,8.05840015411377
645,1704384002-800,VW,Golf Variant 2.0 TSI R 4 Motion DSG,300.0,80500.0,2016.0,29800,Automat,250 - 599,1,0,0,"Hauptstrasse 276, 3852 Ringgenberg",46.70596694946289,7.903702735900879
646,1704384007-801,SKODA,Enyaq 80x RS iV,299.0,3000.0,2023.0,69990,Automat,250 - 599,0,0,1,"Bernstrasse 11, 3280 Murten",46.93014526367188,7.121633052825928
647,1704384010-802,RENAULT,Mégane Berline 1.3 16V Intens EDC,160.0,33000.0,2021.0,19990,Automat,0 - 249,1,0,0,"Thurgauerstrasse 103, 8152 Opfikon",47.42139434814453,8.556894302368164
648,1704384012-803,PORSCHE,911 GT3 Touring PDK,510.0,2390.0,2022.0,218500,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
650,1704384017-805,MERCEDES-BENZ,GLC 63 AMG 4Matic 9G-Tronic,476.0,69500.0,2019.0,66700,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
651,1704384020-806,MERCEDES-BENZ,E 63 AMG 4Matic Speedshift,557.0,138000.0,2014.0,38500,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
652,1704384022-807,MITSUBISHI,Colt 1.3 16V Sport motion,95.0,170000.0,2008.0,3950,Manuell,0 - 249,1,0,0,"Bernstrasse 50, 3053 Münchenbuchsee",47.0159912109375,7.455813407897949
655,1704384030-810,FORD,EcoSport 1.0 SCTi Titanium,125.0,68700.0,2017.0,12790,Manuell,0 - 249,1,0,0,"St. Gallerstrasse 1, 8589 Sitterdorf",47.50647735595703,9.25190544128418
657,1704384040-813,NISSAN,Pathfinder 2.5 dCi SE,190.0,106000.0,2012.0,24800,Manuell,0 - 249,0,1,0,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33763122558594,8.811254501342773
658,1704384043-814,MERCEDES-BENZ,E 220 d AMG Line 9G-Tronic,194.0,39000.0,2021.0,47800,Automat,0 - 249,0,1,0,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33763122558594,8.811254501342773
660,1704384048-816,PORSCHE,Cayenne S,420.0,204000.0,2011.0,21500,Automat,250 - 599,1,0,0,"Schwadernaustrasse 65, 2558 Aegerten",47.124847412109375,7.296989917755127
662,1704384053-818,OPEL,Zafira 2.0 CDTi Excellence,170.0,107000.0,2018.0,18900,Manuell,0 - 249,0,1,0,"Wilerstrasse 207, 9500 Kirchberg, 9500 Wil SG",47.43903350830078,9.055670738220217
663,1704384056-819,AUDI,S3 Sportback 2.0 TFSI quattro S-tronic,301.0,68800.0,2019.0,36800,Automat,250 - 599,1,0,0,"Aarauerstrasse 35, 5600 Lenzburg",47.387020111083984,8.166926383972168
664,1704384058-820,PEUGEOT,2008 1.2 PureTech Allure EAT6,110.0,76800.0,2017.0,12990,Automat,0 - 249,1,0,0,"Hauptstrasse 1, 5032 Aarau Rohr",47.39947128295898,8.072551727294922
665,1704384070-823,PORSCHE,Cayenne GTS,440.0,97000.0,2017.0,56988,Automat,250 - 599,1,0,0,"Erlenstrasse 2, 6343 Rotkreuz",47.14907455444336,8.43075180053711
667,1704384077-826,CITROEN,Grand C4 Picasso 1.6i 16V e-THP Intensive,165.0,157000.0,2015.0,9200,Automat,0 - 249,1,0,0,"Bahnhofstrasse, 19c, 3270 Aarberg",47.041500091552734,7.273868560791016
668,1704384080-827,BMW,420d Gran Coupé xDrive Luxury Line Steptronic,190.0,193700.0,2015.0,15800,Automat,0 - 249,0,1,0,"131 rte de Peney, 1214 Vernier",46.20841217041016,6.070792675018311
669,1704384082-828,BMW,120d xDrive Steptronic Pure M Sport,190.0,27500.0,2022.0,37900,Automat,0 - 249,0,1,0,"Rohrerstrasse 30, 5000 Aarau",47.39478302001953,8.05840015411377
670,1704384087-830,VOLVO,V40 Cross Country D3 Kinetic Geartronic,150.0,111000.0,2014.0,12900,Automat,0 - 249,0,1,0,"Rue centrale 2, 1845 Noville",46.38693618774414,6.921760082244873
671,1704384096-832,SMART,fortwo prime,90.0,56500.0,2015.0,9799,Manuell,0 - 249,1,0,0,"Ueberlandstrasse 210, 8051 Zürich",47.41016006469727,8.573046684265137
672,1704384098-833,BMW,X1 xDrive 20d xLine Steptronic,190.0,78500.0,2017.0,25800,Automat,0 - 249,0,1,0,"Rohrerstrasse 30, 5000 Aarau",47.39478302001953,8.05840015411377
678,1704384116-840,FIAT,595 1.4 16V Turbo Abarth,145.0,37000.0,2021.0,17300,Manuell,0 - 249,1,0,0,"Chilegass 5, 8197 Rafz",47.6140022277832,8.534664154052734
679,1704384121-841,VW,Polo 1.0 TSI BMT Lounge DSG,110.0,85000.0,2016.0,13900,Automat,0 - 249,1,0,0,"El Stradon 47a, 6523 Preonzo",46.26348876953125,9.000862121582031
680,1704384124-842,MAZDA,2,102.0,108000.0,2013.0,5500,Manuell,0 - 249,1,0,0,"112 route du Grand-Lancy, 1212 Grand-Lancy",46.181434631347656,6.11400842666626
681,1704384126-843,SEAT,Ibiza SC 1.4 TSI FR DSG,150.0,180000.0,2011.0,7000,Automat,0 - 249,1,0,0,"Schäracherweg 2, 8165 Oberweningen",47.503055572509766,8.407184600830078
684,1704384134-846,BMW,325iX,170.0,57000.0,1987.0,29000,Manuell,0 - 249,1,0,0,"Konradstrasse, 8005 Zürich",47.37983703613281,8.537201881408691
685,1704384136-847,MITSUBISHI,i MiEV,67.0,88000.0,2011.0,3900,Automat,0 - 249,0,0,1,"Zielackerstrasse 21, 4934 Madiswil",47.1727180480957,7.80346155166626
686,1704384139-848,JEEP,Compass 1.4 Turbo Limited AWD 9ATX,170.0,70000.0,2018.0,23000,Automat,0 - 249,1,0,0,"Hauptstrasse 59, 9424 Rheineck",47.46446228027344,9.592474937438965
688,1704384152-852,SKODA,Karoq 2.0 TDI CR Style 4x4 DSG,150.0,58000.0,2019.0,27100,Automat,0 - 249,0,1,0,"A Scerése 6, 6702 Claro",46.25399398803711,9.017836570739746
689,1704384155-853,CITROEN,C3 1.2i PureTech Shine,82.0,53800.0,2019.0,9999,Manuell,0 - 249,1,0,0,"Holzmattweg 9, 3122 Kehrsatz",46.9070930480957,7.462739944458008
691,1704384160-855,VW,Passat Variant 2.0 TDI Comfortline,140.0,176600.0,2006.0,4900,Manuell,0 - 249,0,1,0,"Austrasse 1, 8212 Neuhausen",47.6831169128418,8.622708320617676
